ID;RUN;Nombre;Apellidos;Dirección;"Correo Electrónico";Teléfono;tipo;titular;rol;profesión;especialidad;firma;"institucion previsional de salud";
1278;430414-4;Ana;"González Hernández";"Av. Vicuña Mackenna 9404";ana.gonzalez@dominiofake.net;920086146;beneficiario;981405-1;Paciente;;;"sin firma";FONASA;
1279;967850-6;Antonio;Silva;"Av. Providencia 7084";antonio.silva@prueba.org;932918727;beneficiario;174069-5;Paciente;;;"sin firma";"Cruz de Malta S.A.";
1280;110188-9;"Isabel Pedro";"Valenzuela López";"Av. Recoleta 6952";isabel.valenzuela@dominiofake.net;906158075;beneficiario;117613-7;Paciente;;;"sin firma";"Fundación e imperio";
1281;216290-3;Pedro;Díaz;"Av. Pajaritos 10129";pedro.diaz@correoexample.com;920222878;beneficiario;531505-0;Paciente;;;"sin firma";"Cruz de Malta S.A.";
1282;867051-K;Laura;López;"Av. La Florida 5552";laura.lopez@dominiofake.net;996747008;titular;867051-K;Paciente;;;"sin firma";FONASA;
1283;461566-2;José;"Martínez Rojas";"Av. Manuel Montt 6776";jose.martinez@dominiofake.net;975625004;beneficiario;905504-5;Paciente;;;"sin firma";FONASA;
1284;285376-0;Lucía;"Torres Sepúlveda";"Av. Providencia 1702";lucia.torres@dominiofake.net;976423491;titular;285376-0;Paciente;;;./firma/1284;"Cruz de Malta S.A.";
1285;456505-3;Ana;"Sepúlveda Rojas";"Av. Irarrazabal 6725";ana.sepulveda@mailficticio.cl;902389954;beneficiario;692454-9;Paciente;;;"sin firma";"Medibanc S.A.";
1286;541718-K;"Isabel Luis";"Pérez Martínez";"Av. Libertador Bernardo O'Higgins 11865";isabel.perez@dominiofake.net;914873170;beneficiario;587008-9;Paciente;;;"sin firma";"Medibanc S.A.";
1287;571163-0;Lucía;"Martínez González";"Av. Macul 1023";lucia.martinez@correoexample.com;949828824;titular;571163-0;"Staff Médico";Tens;;"sin firma";"Colmena de avispas S.A.";
1288;148394-3;Marta;"Morales Hernández";"Av. Matta 11599";marta.morales@prueba.org;951776471;beneficiario;710907-5;Paciente;;;"sin firma";"Vida uno S.A.";
1289;460181-5;"Diego Lucía";Martínez;"Av. Recoleta 10567";diego.martinez@prueba.org;940816982;titular;460181-5;Paciente;;;"sin firma";FONASA;
1290;757750-8;"José Francisco";"Pérez Silva";"Av. Tobalaba 5637";jose.perez@mailficticio.cl;979380602;beneficiario;754950-4;Paciente;;;"sin firma";"Medibanc S.A.";
1291;199898-6;Luis;"Hernández Díaz";"Av. Manuel Montt 1444";luis.hernandez@dominiofake.net;948707601;titular;199898-6;Paciente;;;"sin firma";"Fundación e imperio";
1292;984724-3;Laura;"Fuentes Soto";"Av. Matta 1854";laura.fuentes@mailficticio.cl;924481359;beneficiario;139801-6;Paciente;;;"sin firma";"Colmena de avispas S.A.";
1293;492552-1;"Isabel Daniel";"Fuentes Espinoza";"Av. Apoquindo 10303";isabel.fuentes@prueba.org;961307466;beneficiario;136493-6;Paciente;;;"sin firma";"Medibanc S.A.";
1294;746957-8;Daniel;"Silva Flores";"Av. Vicuña Mackenna 11478";daniel.silva@prueba.org;912506436;beneficiario;448426-6;Paciente;;;"sin firma";"Menos vida S.A.";
1295;521718-0;Lucía;"Soto Torres";"Av. Tobalaba 4495";lucia.soto@correoexample.com;982687699;titular;521718-0;Administrativo;;;"sin firma";"Vida uno S.A.";
1296;882573-4;"Ana Andrés";"Contreras Martínez";"Av. Manuel Montt 3671";ana.contreras@dominiofake.net;966463774;beneficiario;572729-4;Paciente;;;"sin firma";"especial S.A.";
1297;438125-4;"Javier Isabel";"Martínez Sepúlveda";"Av. Manuel Montt 1921";javier.martinez@correoexample.com;914629717;titular;438125-4;Paciente;;;"sin firma";FONASA;
1298;718244-9;Ana;"Torres Muñoz";"Av. Grecia 1888";ana.torres@correoexample.com;954101502;beneficiario;436305-1;Paciente;;;"sin firma";"Salud Ltda.";
1299;661603-8;Marta;"Valenzuela López";"Av. Tobalaba 4144";marta.valenzuela@dominiofake.net;950119848;beneficiario;617806-5;Paciente;;;"sin firma";"Vida uno S.A.";
1300;863987-6;"Carmen Laura";López;"Av. La Florida 10464";carmen.lopez@dominiofake.net;994796688;titular;863987-6;Paciente;;;"sin firma";"Cruz de Malta S.A.";
1301;510259-6;Marta;"Muñoz Fuentes";"Av. La Florida 6749";marta.munoz@prueba.org;903190352;beneficiario;319555-4;Paciente;;;"sin firma";"sinsalud S.A.";
1302;725124-6;Miguel;"Araya Muñoz";"Av. Macul 2230";miguel.araya@prueba.org;946776543;titular;725124-6;Paciente;;;"sin firma";FONASA;
1303;516734-5;Isabel;"Muñoz Silva";"Av. Matta 2126";isabel.munoz@correoexample.com;939164716;beneficiario;254734-1;Paciente;;;"sin firma";"sinsalud S.A.";
1304;530227-7;"Luis Pedro";Valenzuela;"Av. Irarrazabal 7017";luis.valenzuela@correoexample.com;914856211;titular;530227-7;Paciente;;;"sin firma";"Colmena de avispas S.A.";
1305;334675-7;Diego;Valenzuela;"Av. Macul 7870";diego.valenzuela@correoexample.com;946421053;beneficiario;873425-9;Paciente;;;"sin firma";"sinsalud S.A.";
1306;315759-8;Marta;"Torres Contreras";"Av. Vicuña Mackenna 5429";marta.torres@correoexample.com;933720765;titular;315759-8;Paciente;;;"sin firma";FONASA;
1307;730270-3;Pedro;"Martínez Muñoz";"Av. Grecia 2161";pedro.martinez@prueba.org;942968310;beneficiario;746053-8;Paciente;;;"sin firma";"sinsalud S.A.";
1308;687279-4;Ana;López;"Av. Grecia 11048";ana.lopez@dominiofake.net;975466962;titular;687279-4;Paciente;;;"sin firma";"Medibanc S.A.";
1309;372219-8;Miguel;"Morales Rojas";"Av. Matta 2945";miguel.morales@mailficticio.cl;988045696;beneficiario;396261-K;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
1310;453439-5;Carmen;"Martínez Araya";"Av. Pajaritos 8588";carmen.martinez@dominiofake.net;960837717;beneficiario;529560-2;Paciente;;;"sin firma";"Menos vida S.A.";
1311;267494-7;Pedro;"Sepúlveda Valenzuela";"Av. Independencia 2235";pedro.sepulveda@correoexample.com;953971017;titular;267494-7;Administrativo;;;"sin firma";FONASA;
1312;414796-0;"María Luis";Soto;"Av. Libertador Bernardo O'Higgins 8941";maria.soto@dominiofake.net;928613415;beneficiario;816521-1;Paciente;;;"sin firma";"especial S.A.";
1313;606088-9;Javier;"Muñoz Araya";"Av. Macul 10728";javier.munoz@mailficticio.cl;997754621;beneficiario;409506-5;Paciente;;;"sin firma";"Salud Ltda.";
1314;452534-5;"Laura Diego";"González Pérez";"Av. Recoleta 1029";laura.gonzalez@dominiofake.net;932183958;titular;452534-5;Paciente;;;"sin firma";FONASA;
1315;874237-5;"Antonio Ana";Flores;"Av. Recoleta 7252";antonio.flores@correoexample.com;957074227;beneficiario;168944-4;Paciente;;;"sin firma";"Colmena de avispas S.A.";
1316;281916-3;"José Javier";"Pérez Contreras";"Av. Los Leones 3131";jose.perez@dominiofake.net;927061901;titular;281916-3;Administrativo;;;"sin firma";"Cruz pal cielo Ltda.";
1317;400659-3;Pedro;"González Valenzuela";"Av. Apoquindo 4222";pedro.gonzalez@correoexample.com;915572083;titular;400659-3;"Staff Médico";Enfermero/a;;"sin firma";"Vida uno S.A.";
1318;543496-3;Laura;Flores;"Av. Tobalaba 3159";laura.flores@prueba.org;971352617;titular;543496-3;Paciente;;;"sin firma";FONASA;
1320;146063-3;"Laura Marta";"Muñoz Hernández";"Av. Providencia 2093";laura.munoz@mailficticio.cl;969243650;titular;146063-3;Paciente;;;"sin firma";FONASA;
1321;413462-1;"Andrés Diego";"Muñoz López";"Av. Macul 3881";andres.munoz@prueba.org;954547123;titular;413462-1;Paciente;;;./firma/1321;"Colmena de avispas S.A.";
1322;283176-7;"Luis Ana";Pérez;"Av. Vicuña Mackenna 1936";luis.perez@dominiofake.net;900427052;beneficiario;461906-4;Paciente;;;"sin firma";"sinsalud S.A.";
1323;224512-4;Laura;"Pérez Contreras";"Av. Providencia 6685";laura.perez@prueba.org;992240578;beneficiario;124037-4;Paciente;;;"sin firma";"especial S.A.";
1324;392684-2;Andrés;"Soto Sepúlveda";"Av. La Florida 5142";andres.soto@dominiofake.net;949718498;beneficiario;988889-6;Paciente;;;"sin firma";"Colmena de avispas S.A.";
1325;231564-5;"Paula Pedro";"Soto González";"Av. Matta 10136";paula.soto@dominiofake.net;909470826;titular;231564-5;Paciente;;;"sin firma";"sinsalud S.A.";
1326;982887-7;Laura;"Hernández Silva";"Av. Apoquindo 9092";laura.hernandez@prueba.org;936660210;beneficiario;440116-6;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
1327;490841-4;"Carmen Lucía";"Flores Muñoz";"Av. Matta 7784";carmen.flores@prueba.org;999432482;titular;490841-4;Paciente;;;"sin firma";"sinsalud S.A.";
1328;527746-9;"Ana Andrés";"Silva Hernández";"Av. Libertador Bernardo O'Higgins 4191";ana.silva@mailficticio.cl;993957677;titular;527746-9;Administrativo;;;"sin firma";"Colmena de avispas S.A.";
1329;296324-8;Antonio;"Espinoza González";"Av. Los Leones 1606";antonio.espinoza@mailficticio.cl;968079829;titular;296324-8;Paciente;;;"sin firma";"especial S.A.";
1330;408287-7;"José Ana";González;"Av. Macul 6798";jose.gonzalez@prueba.org;961906230;titular;408287-7;Administrativo;;;"sin firma";"Menos vida S.A.";
1331;459676-5;Sofía;"Espinoza Contreras";"Av. Macul 3406";sofia.espinoza@correoexample.com;920261699;beneficiario;369052-0;Paciente;;;"sin firma";"Colmena de avispas S.A.";
1332;372408-5;"Javier Miguel";"Morales Díaz";"Av. Independencia 3557";javier.morales@prueba.org;946875634;beneficiario;442390-9;Paciente;;;"sin firma";"Cruz de Malta S.A.";
1333;562053-8;"Pedro Sofía";Silva;"Av. Independencia 11216";pedro.silva@prueba.org;922208771;beneficiario;247567-7;Paciente;;;"sin firma";FONASA;
1334;433225-3;Paula;"González Araya";"Av. Manuel Montt 880";paula.gonzalez@dominiofake.net;939652126;beneficiario;930475-4;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
1335;808670-2;"Carmen Laura";"Muñoz Flores";"Av. Pajaritos 8732";carmen.munoz@dominiofake.net;976107736;titular;808670-2;Paciente;;;./firma/1335;"sinsalud S.A.";
1336;146444-2;Javier;"Espinoza Martínez";"Av. Providencia 10305";javier.espinoza@prueba.org;980095645;titular;146444-2;Paciente;;;"sin firma";"Salud Ltda.";
1337;897255-9;Andrés;"Fuentes Valenzuela";"Av. Irarrazabal 9019";andres.fuentes@prueba.org;989978379;titular;897255-9;Paciente;;;"sin firma";"especial S.A.";
1338;230750-2;Luis;"Sepúlveda Rodríguez";"Av. Tobalaba 8369";luis.sepulveda@correoexample.com;945433054;beneficiario;578572-3;Paciente;;;"sin firma";"Fundación e imperio";
1339;218999-2;Marta;López;"Av. Tobalaba 7040";marta.lopez@dominiofake.net;990599426;beneficiario;960409-K;Paciente;;;"sin firma";"Salud Ltda.";
1340;765233-K;Francisco;"Díaz Pérez";"Av. Los Leones 7994";francisco.diaz@correoexample.com;991575010;beneficiario;217526-6;Paciente;;;"sin firma";"Cruz de Malta S.A.";
1341;923583-3;Lucía;"Martínez Araya";"Av. Libertador Bernardo O'Higgins 8080";lucia.martinez@dominiofake.net;959977623;titular;923583-3;Paciente;;;"sin firma";"Vida uno S.A.";
1342;887448-4;Luis;"Muñoz López";"Av. Apoquindo 7415";luis.munoz@dominiofake.net;936719203;titular;887448-4;Paciente;;;"sin firma";FONASA;
1343;338758-5;Marta;Silva;"Av. Independencia 5105";marta.silva@correoexample.com;922131008;beneficiario;123964-3;Paciente;;;"sin firma";"Fundación e imperio";
1344;890688-2;Pedro;González;"Av. Libertador Bernardo O'Higgins 8597";pedro.gonzalez@mailficticio.cl;945886126;titular;890688-2;Paciente;;;"sin firma";FONASA;
1345;150339-1;Pedro;López;"Av. Tobalaba 5185";pedro.lopez@mailficticio.cl;908562940;titular;150339-1;Paciente;;;"sin firma";"sinsalud S.A.";
1346;619858-9;Marta;Martínez;"Av. Pajaritos 5722";marta.martinez@dominiofake.net;920660340;titular;619858-9;Paciente;;;"sin firma";FONASA;
1347;504372-7;"Sofía Laura";"Rodríguez Rojas";"Av. Macul 1717";sofia.rodriguez@prueba.org;937566042;titular;504372-7;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
1348;116812-6;Javier;"Hernández Rodríguez";"Av. Matta 215";javier.hernandez@mailficticio.cl;915047179;titular;116812-6;Paciente;;;"sin firma";"especial S.A.";
1349;838603-K;María;"Pérez Silva";"Av. Matta 7089";maria.perez@mailficticio.cl;919232107;titular;838603-K;Paciente;;;"sin firma";"Cruz de Malta S.A.";
1350;579242-8;José;"Díaz Valenzuela";"Av. Apoquindo 8709";jose.diaz@dominiofake.net;934823270;titular;579242-8;Paciente;;;"sin firma";"Medibanc S.A.";
1351;918819-3;Francisco;"Torres Torres";"Av. Grecia 1119";francisco.torres@prueba.org;922237459;titular;918819-3;Paciente;;;"sin firma";FONASA;
1352;469164-4;"Antonio Luis";"Espinoza Soto";"Av. Providencia 9585";antonio.espinoza@prueba.org;901702081;titular;469164-4;Paciente;;;"sin firma";"Menos vida S.A.";
1353;194463-0;"Javier Lucía";"Rojas Martínez";"Av. Providencia 6551";javier.rojas@dominiofake.net;958911796;beneficiario;322823-1;Paciente;;;"sin firma";"Salud Ltda.";
1354;153354-1;"Ana Ana";"Sepúlveda Morales";"Av. Tobalaba 8466";ana.sepulveda@correoexample.com;962068676;beneficiario;526097-3;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
1355;869809-0;Daniel;"Rodríguez Flores";"Av. La Florida 7375";daniel.rodriguez@correoexample.com;976593283;beneficiario;868612-2;Paciente;;;"sin firma";"especial S.A.";
1356;755717-5;Isabel;"Fuentes Torres";"Av. Los Leones 2927";isabel.fuentes@dominiofake.net;902534764;beneficiario;549911-9;Paciente;;;"sin firma";"especial S.A.";
1357;879073-6;"Javier María";"Espinoza Valenzuela";"Av. Manuel Montt 298";javier.espinoza@mailficticio.cl;947076257;titular;879073-6;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
1358;549140-1;"Pedro Laura";"Silva Pérez";"Av. Grecia 2719";pedro.silva@dominiofake.net;938074532;beneficiario;843577-4;Paciente;;;"sin firma";"Medibanc S.A.";
1359;609785-5;Ana;"Contreras Rodríguez";"Av. Manuel Montt 3756";ana.contreras@correoexample.com;995067991;beneficiario;683106-0;Paciente;;;"sin firma";FONASA;
1360;818318-K;Francisco;"Torres López";"Av. Libertador Bernardo O'Higgins 5550";francisco.torres@prueba.org;905980479;titular;818318-K;"Staff Médico";Tens;;"sin firma";"Menos vida S.A.";
1361;918344-2;Antonio;"Torres Rojas";"Av. Apoquindo 9057";antonio.torres@correoexample.com;956622022;titular;918344-2;Paciente;;;"sin firma";FONASA;
1362;379691-4;Sofía;"Valenzuela Torres";"Av. Grecia 4887";sofia.valenzuela@dominiofake.net;907265551;beneficiario;199846-3;Paciente;;;"sin firma";"Cruz de Malta S.A.";
1363;861661-2;"Diego Juan";"Martínez Soto";"Av. Tobalaba 7509";diego.martinez@prueba.org;932919471;beneficiario;543385-1;Paciente;;;"sin firma";"Salud Ltda.";
1364;174864-5;"Antonio Laura";Díaz;"Av. Apoquindo 7372";antonio.diaz@mailficticio.cl;987145474;beneficiario;741818-3;Paciente;;;"sin firma";"Vida uno S.A.";
1365;597286-8;Marta;"Muñoz Martínez";"Av. Apoquindo 7018";marta.munoz@dominiofake.net;921165626;titular;597286-8;Paciente;;;"sin firma";FONASA;
1366;254734-1;Miguel;"López Torres";"Av. Providencia 9985";miguel.lopez@correoexample.com;936255572;titular;254734-1;Paciente;;;"sin firma";"sinsalud S.A.";
1367;180153-8;Francisco;Díaz;"Av. Irarrazabal 5254";francisco.diaz@prueba.org;956124211;titular;180153-8;Paciente;;;"sin firma";"Menos vida S.A.";
1368;656949-8;Paula;Rojas;"Av. Los Leones 3429";paula.rojas@mailficticio.cl;913350618;beneficiario;761136-6;Paciente;;;"sin firma";"Menos vida S.A.";
1369;158520-7;Antonio;"Contreras Pérez";"Av. Macul 11837";antonio.contreras@correoexample.com;953360984;beneficiario;245808-K;Paciente;;;"sin firma";"especial S.A.";
1370;258742-4;Ana;Hernández;"Av. Independencia 11780";ana.hernandez@correoexample.com;954508126;beneficiario;635434-3;Paciente;;;"sin firma";"Salud Ltda.";
1371;432652-0;María;"Rodríguez Valenzuela";"Av. La Florida 11053";maria.rodriguez@mailficticio.cl;907556357;beneficiario;119448-8;Paciente;;;"sin firma";"Fundación e imperio";
1372;441091-2;"Laura Pedro";"Morales Sepúlveda";"Av. Tobalaba 4882";laura.morales@mailficticio.cl;909932585;titular;441091-2;Administrativo;;;"sin firma";"Medibanc S.A.";
1373;300514-3;"Isabel Sofía";"Espinoza González";"Av. Apoquindo 9858";isabel.espinoza@dominiofake.net;951344372;beneficiario;354356-0;Paciente;;;"sin firma";"Medibanc S.A.";
1374;530522-5;Paula;"Araya Araya";"Av. Apoquindo 355";paula.araya@mailficticio.cl;938924250;titular;530522-5;Paciente;;;"sin firma";"Vida uno S.A.";
1375;858501-6;"Juan Andrés";"Pérez Flores";"Av. Irarrazabal 991";juan.perez@prueba.org;912878409;titular;858501-6;Paciente;;;"sin firma";FONASA;
1376;418156-5;"Carmen Paula";"López Martínez";"Av. Macul 2064";carmen.lopez@correoexample.com;940152384;titular;418156-5;Paciente;;;"sin firma";FONASA;
1377;596671-K;"Ana Andrés";Valenzuela;"Av. Macul 6404";ana.valenzuela@mailficticio.cl;913654490;titular;596671-K;Paciente;;;./firma/1377;"Menos vida S.A.";
1378;421289-4;Luis;"Flores Rojas";"Av. Pajaritos 7713";luis.flores@dominiofake.net;979644096;titular;421289-4;Paciente;;;"sin firma";"Cruz de Malta S.A.";
1379;141447-K;María;"Morales Martínez";"Av. Irarrazabal 6424";maria.morales@mailficticio.cl;904994578;beneficiario;866572-9;Paciente;;;"sin firma";"Cruz de Malta S.A.";
1380;536585-6;Luis;"Díaz Martínez";"Av. Recoleta 6428";luis.diaz@correoexample.com;967594847;beneficiario;260607-0;Paciente;;;"sin firma";"Menos vida S.A.";
1381;352626-7;Carmen;"Pérez Valenzuela";"Av. Libertador Bernardo O'Higgins 1416";carmen.perez@correoexample.com;918997997;titular;352626-7;"Staff Médico";Kinesiólogo/a;;"sin firma";"Fundación e imperio";
1382;288235-3;"Daniel Paula";"Sepúlveda Espinoza";"Av. Libertador Bernardo O'Higgins 6331";daniel.sepulveda@prueba.org;919015672;beneficiario;840306-6;Paciente;;;"sin firma";"Colmena de avispas S.A.";
1383;898344-5;"Carmen Francisco";"Hernández Morales";"Av. Los Leones 7625";carmen.hernandez@correoexample.com;920653940;beneficiario;345911-K;Paciente;;;"sin firma";"Vida uno S.A.";
1384;242510-6;"Laura Laura";"Valenzuela Silva";"Av. Apoquindo 8915";laura.valenzuela@prueba.org;954820759;beneficiario;134035-2;Paciente;;;"sin firma";"Vida uno S.A.";
1385;131483-1;Lucía;"Espinoza Soto";"Av. Los Leones 5281";lucia.espinoza@mailficticio.cl;995872426;beneficiario;194294-8;Paciente;;;"sin firma";"sinsalud S.A.";
1386;679822-5;"Marta Luis";Martínez;"Av. Providencia 5749";marta.martinez@correoexample.com;994434408;beneficiario;739906-5;Paciente;;;"sin firma";"especial S.A.";
1387;712688-3;"Marta Paula";"Díaz Valenzuela";"Av. Irarrazabal 10183";marta.diaz@prueba.org;988276674;beneficiario;326000-3;Paciente;;;"sin firma";"Medibanc S.A.";
1388;574812-7;Antonio;"Araya Muñoz";"Av. Grecia 11484";antonio.araya@prueba.org;903449775;titular;574812-7;Administrativo;;;"sin firma";"Cruz pal cielo Ltda.";
1389;908753-2;Paula;"Pérez Martínez";"Av. Libertador Bernardo O'Higgins 2223";paula.perez@dominiofake.net;932401841;beneficiario;484428-9;Paciente;;;"sin firma";"especial S.A.";
1390;464804-8;Carmen;"López Araya";"Av. Macul 10349";carmen.lopez@correoexample.com;916189058;beneficiario;183791-5;Paciente;;;"sin firma";"Cruz de Malta S.A.";
1391;145741-1;Paula;"Muñoz Soto";"Av. Irarrazabal 8897";paula.munoz@correoexample.com;980707126;beneficiario;309139-2;Paciente;;;"sin firma";"Fundación e imperio";
1392;138319-1;"María Sofía";Fuentes;"Av. Pajaritos 7064";maria.fuentes@correoexample.com;906302388;beneficiario;281685-7;Paciente;;;"sin firma";"Menos vida S.A.";
1393;570687-4;Marta;"Araya Rojas";"Av. Macul 10264";marta.araya@prueba.org;934908870;titular;570687-4;Paciente;;;"sin firma";"Vida uno S.A.";
1394;537130-9;"Laura Lucía";Araya;"Av. Independencia 8975";laura.araya@dominiofake.net;940227757;titular;537130-9;"Staff Médico";Médico;"Medicina Familiar";./firma/1394;"Cruz pal cielo Ltda.";
1395;528668-9;"Paula Sofía";Sepúlveda;"Av. Pajaritos 4199";paula.sepulveda@prueba.org;971871989;titular;528668-9;Paciente;;;./firma/1395;"Colmena de avispas S.A.";
1396;748110-1;Pedro;"Pérez Flores";"Av. Pajaritos 6002";pedro.perez@dominiofake.net;968985768;titular;748110-1;Paciente;;;"sin firma";"sinsalud S.A.";
1397;532388-6;María;"Díaz Espinoza";"Av. Tobalaba 8672";maria.diaz@prueba.org;964189100;beneficiario;415570-K;Paciente;;;"sin firma";"Menos vida S.A.";
1398;166557-K;Andrés;Valenzuela;"Av. Apoquindo 4774";andres.valenzuela@dominiofake.net;959554966;titular;166557-K;"Staff Médico";Tens;;"sin firma";"Cruz pal cielo Ltda.";
1399;759029-6;"Laura Marta";"Martínez Fuentes";"Av. Libertador Bernardo O'Higgins 5381";laura.martinez@correoexample.com;934165240;beneficiario;445176-7;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
1400;160952-1;"Ana Miguel";"Flores Fuentes";"Av. Tobalaba 2731";ana.flores@correoexample.com;906773496;beneficiario;570656-4;Paciente;;;"sin firma";"Menos vida S.A.";
1401;741641-5;Marta;Díaz;"Av. La Florida 6346";marta.diaz@mailficticio.cl;917301667;titular;741641-5;Paciente;;;"sin firma";"Medibanc S.A.";
1402;876272-4;Sofía;"Hernández Araya";"Av. Matta 5739";sofia.hernandez@correoexample.com;983307963;beneficiario;539084-2;Paciente;;;"sin firma";"Cruz de Malta S.A.";
1403;280300-3;"Javier Andrés";Flores;"Av. Tobalaba 7222";javier.flores@mailficticio.cl;997430787;beneficiario;927171-6;Paciente;;;"sin firma";"sinsalud S.A.";
1404;110001-7;Paula;"Muñoz Contreras";"Av. Matta 4922";paula.munoz@dominiofake.net;943433224;beneficiario;591364-0;Paciente;;;"sin firma";"especial S.A.";
1405;678019-9;"Miguel Miguel";"Flores Silva";"Av. Irarrazabal 4727";miguel.flores@mailficticio.cl;916002506;titular;678019-9;"Staff Médico";Tens;;"sin firma";"Colmena de avispas S.A.";
1406;989026-2;María;"Araya Rodríguez";"Av. Manuel Montt 3461";maria.araya@dominiofake.net;916856495;beneficiario;641635-7;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
1407;160875-4;Lucía;López;"Av. Pajaritos 10575";lucia.lopez@correoexample.com;933608751;titular;160875-4;Paciente;;;"sin firma";"Colmena de avispas S.A.";
1408;569831-6;"Francisco Miguel";"Contreras Rodríguez";"Av. Los Leones 6139";francisco.contreras@prueba.org;966215087;beneficiario;523775-0;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
1409;975668-K;"Lucía Ana";Pérez;"Av. Tobalaba 8862";lucia.perez@correoexample.com;939223641;titular;975668-K;Paciente;;;"sin firma";"Medibanc S.A.";
1410;337862-4;"Luis María";Flores;"Av. Tobalaba 9140";luis.flores@mailficticio.cl;968333723;titular;337862-4;Paciente;;;"sin firma";"Colmena de avispas S.A.";
1411;748806-8;Antonio;"Flores Díaz";"Av. Apoquindo 689";antonio.flores@correoexample.com;968484892;beneficiario;836854-6;Paciente;;;"sin firma";"Colmena de avispas S.A.";
1412;297169-0;"Sofía Lucía";"Soto Martínez";"Av. Manuel Montt 7480";sofia.soto@prueba.org;963096830;titular;297169-0;"Staff Médico";Enfermero/a;;"sin firma";"especial S.A.";
1413;195263-3;"Sofía Diego";"Valenzuela Soto";"Av. Providencia 5174";sofia.valenzuela@dominiofake.net;950507424;titular;195263-3;Paciente;;;"sin firma";FONASA;
1414;842028-9;María;"Muñoz Soto";"Av. Recoleta 6210";maria.munoz@dominiofake.net;968815652;titular;842028-9;Paciente;;;./firma/1414;"Fundación e imperio";
1415;521635-4;Ana;"Díaz Hernández";"Av. Los Leones 7631";ana.diaz@correoexample.com;964939851;beneficiario;383910-9;Paciente;;;"sin firma";"Menos vida S.A.";
1416;977884-5;José;"Morales Muñoz";"Av. Tobalaba 4228";jose.morales@correoexample.com;948380892;titular;977884-5;"Staff Médico";Enfermero/a;;"sin firma";"especial S.A.";
1417;948066-8;"José Javier";Hernández;"Av. Pajaritos 5925";jose.hernandez@correoexample.com;986454409;titular;948066-8;Paciente;;;"sin firma";"sinsalud S.A.";
1418;976258-2;Lucía;Valenzuela;"Av. Apoquindo 9370";lucia.valenzuela@dominiofake.net;994227531;beneficiario;648901-K;Paciente;;;"sin firma";"Medibanc S.A.";
1419;714492-K;Francisco;"Torres López";"Av. Pajaritos 5454";francisco.torres@prueba.org;989563205;titular;714492-K;"Staff Médico";Enfermero/a;;"sin firma";"sinsalud S.A.";
1420;426890-3;Francisco;"Díaz Flores";"Av. Independencia 5831";francisco.diaz@correoexample.com;982138951;titular;426890-3;Paciente;;;"sin firma";"Salud Ltda.";
1421;436169-5;"Carmen Luis";Araya;"Av. Libertador Bernardo O'Higgins 4928";carmen.araya@prueba.org;922346382;beneficiario;938912-1;Paciente;;;"sin firma";"Cruz de Malta S.A.";
1422;976438-0;Carmen;"González Hernández";"Av. Macul 6053";carmen.gonzalez@prueba.org;903478736;beneficiario;422451-5;Paciente;;;"sin firma";"Fundación e imperio";
1423;558289-K;Andrés;"Morales Contreras";"Av. Tobalaba 4943";andres.morales@dominiofake.net;982196947;titular;558289-K;Paciente;;;"sin firma";"Cruz pal cielo Ltda.";
1424;761925-1;Laura;"Sepúlveda Araya";"Av. Providencia 8269";laura.sepulveda@mailficticio.cl;977934497;beneficiario;711960-7;Paciente;;;"sin firma";"Salud Ltda.";
1425;655385-0;José;"Rodríguez Morales";"Av. Vicuña Mackenna 230";jose.rodriguez@mailficticio.cl;969199678;beneficiario;417982-K;Paciente;;;"sin firma";"Colmena de avispas S.A.";
1426;237666-0;"Miguel Paula";Hernández;"Av. Tobalaba 8467";miguel.hernandez@dominiofake.net;944720335;titular;237666-0;Paciente;;;"sin firma";FONASA;
1427;941052-K;Pedro;Martínez;"Av. Independencia 4545";pedro.martinez@correoexample.com;932432255;beneficiario;180153-8;Paciente;;;"sin firma";"Menos vida S.A.";
1428;573979-9;Juan;"Soto Pérez";"Av. Apoquindo 1098";juan.soto@mailficticio.cl;904861238;titular;573979-9;Paciente;;;"sin firma";FONASA;
1429;911278-2;Marta;"Valenzuela Sepúlveda";"Av. Tobalaba 10490";marta.valenzuela@mailficticio.cl;907216951;beneficiario;992721-2;Paciente;;;"sin firma";FONASA;
1430;748717-7;Lucía;"Morales Valenzuela";"Av. Recoleta 4937";lucia.morales@correoexample.com;908907393;beneficiario;758519-5;Paciente;;;"sin firma";"sinsalud S.A.";
1431;626689-4;Lucía;"Silva Silva";"Av. Apoquindo 3811";lucia.silva@correoexample.com;977219353;beneficiario;687287-5;Paciente;;;"sin firma";FONASA;
1432;404317-0;Luis;"Fuentes Morales";"Av. Pajaritos 278";luis.fuentes@mailficticio.cl;950108925;titular;404317-0;Administrativo;;;"sin firma";"Fundación e imperio";
